name,link,location,continent,country,region,locality,rating,elev_diff,min_alt,max_alt,total_km,easy_km,inter_km,diff_km,num_lifts,price,current_season,general_season,opening_times,approx_season_start,approx_season_end,original_currency,original_value,exchange_rate,usd_price
Bansko,https://www.skiresort.info/ski-resort/bansko/,Europe > Bulgaria > Blagoevgrad,Europe,Bulgaria,,,4.2,1540 m,990 m,2530 m,75 km,44 km,25 km,6 km,14,"BGN 110,- / approx. € 56,-",2025-12-06 - 2026-04-12,early December - mid April,08:30 - 17:00,12-07,04-15,BGN,110.0,0.5907,64.977
Grimentz/​Zinal,https://www.skiresort.info/ski-resort/grimentzzinal/,Europe > Switzerland > Lemanic Region > Valais (Wallis) > Val d'Anniviers,Europe,Switzerland,Lemanic Region > Valais (Wallis),Val d'Anniviers,4.2,1330 m,1570 m,2900 m,115 km,26.5 km,58.6 km,29.9 km,21,"SFr. 72,- / approx. € 77,-",2025-12-06 - 2026-04-19,mid November - mid April,09:00 - 16:30,11-15,04-15,CHF,72.0,1.2428,89.48159999999999
Åre,https://www.skiresort.info/ski-resort/aare/,Europe > Sweden > Northern Sweden (Norrland) > Jämtland > Åre,Europe,Sweden,Northern Sweden (Norrland) > Jämtland,Åre,4.2,894 m,380 m,1274 m,91 km,45 km,38 km,8 km,36,"Skr 755,- / approx. € 69,-",2025-11-29 - 2026-05-03,mid November - early May,08:00 - 16:30,11-15,05-07,SEK,755.0,0.10467,79.02585
Alpe d'Huez,https://www.skiresort.info/ski-resort/alpe-dhuez/,Europe > France > Auvergne-Rhône-Alpes > Isère > Grenoble,Europe,France,Auvergne-Rhône-Alpes > Isère,Grenoble,4.2,2205 m,1125 m,3330 m,250 km,70 km,130 km,50 km,69,"€ 62,-",2025-11-29 - 2026-04-19,early December - late April,08:30 - 17:00,12-07,04-23,EUR,62.0,1.1553,71.6286
Jackson Hole,https://www.skiresort.info/ski-resort/jackson-hole/,North America > USA > Wyoming,North America,USA,,,4.2,1261 m,1924 m,3185 m,116 km,16 km,50 km,50 km,13,"US$ 269,- / approx. € 229,-",2025-11-29 - 2026-04-12,early December - early April,09:00 - 16:00,12-07,04-07,USD,269.0,1.0,269.0
Bald Mountain – Sun Valley,https://www.skiresort.info/ski-resort/bald-mountain-sun-valley/,North America > USA > Idaho,North America,USA,,,4.2,1036 m,1753 m,2789 m,90 km,20 km,40 km,30 km,12,"US$ 209,- / approx. € 178,-",2025-11-27 - 2026-04-19,late November - mid April,09:00 - 16:00,11-23,04-15,USD,209.0,1.0,209.0
Kreischberg,https://www.skiresort.info/ski-resort/kreischberg/,Europe > Austria > Styria (Steiermark) > Murtal | Europe > Austria > Styria (Steiermark) > Murau,Europe,Austria,Styria (Steiermark) | Styria (Steiermark),Murtal | Murau,4.2,1250 m,868 m,2118 m,42.5 km,17.5 km,16 km,9 km,12,"€ 65,-",2025-12-05 - 2026-04-06,early December - mid April,08:30 - 16:00,12-07,04-15,EUR,65.0,1.1553,75.0945
Crans-Montana,https://www.skiresort.info/ski-resort/crans-montana/,Europe > Switzerland > Lemanic Region > Valais (Wallis),Europe,Switzerland,Lemanic Region,Valais (Wallis),4.2,1417 m,1510 m,2927 m,140 km,55 km,70 km,15 km,24,"SFr. 89,- / approx. € 95,-",2025-11-29 - 2026-04-06,late November - mid April,08:30 - 16:30,11-23,04-15,CHF,89.0,1.2428,110.60919999999999
Winter Park Resort,https://www.skiresort.info/ski-resort/winter-park-resort/,North America > USA > Colorado,North America,USA,,,4.2,933 m,2743 m,3676 m,143 km,11 km,53 km,79 km,25,"US$ 275,- / approx. € 234,-",2025-11-08 - 2026-05-17,mid November - late April,09:00 - 16:00,11-15,04-23,USD,275.0,1.0,275.0
Saint-Lary-Soulan,https://www.skiresort.info/ski-resort/saint-lary-soulan/,Europe > France > Occitania > Hautes-Pyrénées > Bagnères-de-Bigorre,Europe,France,Occitania > Hautes-Pyrénées,Bagnères-de-Bigorre,4.2,918 m,1597 m,2515 m,105 km,60 km,35 km,10 km,24,"€ 53,-",2025-12-05 - 2026-04-05,late December - late April,09:00 - 17:00,12-23,04-23,EUR,53.0,1.1553,61.2309
